[[{'duration': 3.48, 'start': 0.04, 'text': '안녕하세요. 조코딩입니다. 바이브'},
  {'duration': 3.399, 'start': 2860.92, 'text': '연결 해 보겠습니다. 연결 할 텐데'},
  {'duration': 3.601, 'start': 2862.559, 'text': 'AI 시키겠습니다. 요거 AI 시켜'},
  {'duration': 5.52, 'start': 2864.319, 'text': '보도록 하겠습니다. 재미나이 시켜'},
  {'duration': 6.8, 'start': 2866.16, 'text': '보겠습니다. 요거 여기에 지금 작업한'},
  {'duration': 5.801, 'start': 2869.839, 'text': '코드 모두 올려 줘. 엔터 누르면'},
  {'duration': 4.96, 'start': 2872.96, 'text': '네. 그러면 아 렇게 수행할까요?'},
  {'duration': 4.0, 'start': 2875.64, 'text': '그래서 얼로우 원스 요걸 누르면 이제'},
  {'duration': 3.96, 'start': 2877.92, 'text': '한 번 호용학기고요. 그냥 알아서'},
  {'duration': 4.4, 'start': 2879.64, 'text': '해라고 하면 두 번째 언로우디스 4'},
  {'duration': 4.04, 'start': 2881.88, 'text': '세션 하면은이 세션이 켜진 동안은'},
  {'duration': 3.319, 'start': 2884.04, 'text': '계속 그냥 알아서 자동으로 합니다.'},
  {'duration': 3.32, 'start': 2885.92, 'text': '그래서 자동화를 해 보겠습니다.요'},
  {'duration': 4.321, 'start': 2887.359, 'text': '정도는 자동으로 시켜도 되기 때문에'},
  {'duration': 3.879, 'start': 2889.24, 'text': '어 이제 기터브 사인인 이제 로그인'},
  {'duration': 2.919, 'start': 2891.68, 'text': '해야겠죠. 왜냐면 내 거에 내가'},
  {'duration': 3.121, 'start': 2893.119, 'text': '올려야 되니까 로그인 해야 되니까'},
  {'duration': 4.081, 'start': 2894.599, 'text': '얼로우 해 주겠습니다.네 요거 코드'},
  {'duration': 7.359, 'start': 2896.24, 'text': '또 비슷하죠? 이거 뜨고 로그인하고'},
  {'duration': 7.439, 'start': 2898.68, 'text': '코드 1812 1 8 1 295 2'},
  {'duration': 4.081, 'start': 2903.599, 'text': '92 25 로그인이 되는 거죠.이'},
  {'duration': 3.321, 'start': 2906.119, 'text': '차인장 안 걸어 놓으셨으면 바로 되실'},
  {'duration': 3.76, 'start': 2907.68, 'text': '겁니다. 저는 요거 보안 때문에.'},
  {'duration': 3.879, 'start': 2909.44, 'text': '네. 오케이. 이제 됐고. 어,'},
  {'duration': 4.879, 'start': 2911.44, 'text': '알아서 해줬습니다. 올려줘 하니까'},
  {'duration': 4.681, 'start': 2913.319, 'text': '코드가 성공적으로 업로드 코드 새로'},
  {'duration': 3.361, 'start': 2916.319, 'text': '고침 해 주면 아, 아주 잘'},
  {'duration': 3.319, 'start': 2918.0, 'text': '올라갔습니다. 네. 안 되는 오류'},
  {'duration': 3.24, 'start': 2919.68, 'text': '뜨셨다. 바로 얘한테 물어보면'},
  {'duration': 3.721, 'start': 2921.319, 'text': '됩니다. 여기다 다 입력하면 다'},
  {'duration': 3.919, 'start': 2922.92, 'text': '해결해 줍니다. 이제이 모든 통제권을'},
  {'duration': 3.36, 'start': 2925.04, 'text': '갖고 있기 때문에 뭐 깃까지'},
  {'duration': 3.401, 'start': 2926.839, 'text': '연결하셨으면 이제 끝났습니다. 사실상'},
  {'duration': 3.0, 'start': 2928.4, 'text': '네. 이제 모든 작업을 한 거 버전'},
  {'duration': 3.24, 'start': 2930.24, 'text': '관리까지 다 할 수 있고요.'},
  {'duration': 4.04, 'start': 2931.4, 'text': '이제부터는 어떻게 할 거냐면이'},
  {'duration': 3.8, 'start': 2933.48, 'text': '아이디에서 작업한 거 기터으로 버전'},
  {'duration': 3.72, 'start': 2935.44, 'text': '관리를 할 거고요. 그다음에이 작업한'},
  {'duration': 3.839, 'start': 2937.28, 'text': '거를 바로 디플로이랑 여기 연결해'},
  {'duration': 3.28, 'start': 2939.16, 'text': '보겠습니다. 워커스앤 페이지 들어와서'},
  {'duration': 3.121, 'start': 2941.119, 'text': '크리에이트 어플리케이션을 누르신'},
  {'duration': 3.56, 'start': 2942.44, 'text': '다음에 looking for디플로이'},
  {'duration': 3.8, 'start': 2944.24, 'text': '페이지라고 돼 있죠. 페이지스 눌러'},
  {'duration': 4.16, 'start': 2946.0, 'text': '가지고 겟스타드를 눌러서 겟'},
  {'duration': 4.0, 'start': 2948.04, 'text': '리포지토리를 연결을 이렇게 해서'},
  {'duration': 4.28, 'start': 2950.16, 'text': '프로덕 빌더 렉처 요거를 선택해'},
  {'duration': 4.68, 'start': 2952.04, 'text': '가지고 그다음에 셋업 누르고 메인'},
  {'duration': 4.639, 'start': 2954.44, 'text': '브랜치를 저희는 요거 배포할 거고'},
  {'duration': 4.599, 'start': 2956.72, 'text': '나머지 아무것도 안 놔두고 세이브 앤'},
  {'duration': 4.081, 'start': 2959.079, 'text': '디플로이를 누르면 됐습니다. 이제'},
  {'duration': 4.121, 'start': 2961.319, 'text': '배포가 됐고요. 이렇게 배포가 된요'},
  {'duration': 4.919, 'start': 2963.16, 'text': '사이트 들어가시면 인터넷에 배포된이'},
  {'duration': 3.84, 'start': 2965.44, 'text': '서비스가네 요렇게 바로 연결된 걸 볼'},
  {'duration': 3.24, 'start': 2968.079, 'text': '수가 있습니다. 즉 파이어베이'},
  {'duration': 4.44, 'start': 2969.28, 'text': '스튜디오에서 작업한 거를 깃업으로'},
  {'duration': 4.321, 'start': 2971.319, 'text': '버전 관리도 하면서 얘가 자동으로'},
  {'duration': 4.96, 'start': 2973.72, 'text': '클라우드 플레어 페이지스와 연동이 돼'},
  {'duration': 4.84, 'start': 2975.64, 'text': '가지고 자동으로 빌드는 것까지 연결을'},
  {'duration': 3.8, 'start': 2978.68, 'text': '싹 다 해 놨습니다. 그리고 여기에'},
  {'duration': 4.0, 'start': 2980.48, 'text': '배포돼서이 주소로 들어가 보시면'},
  {'duration': 3.359, 'start': 2982.48, 'text': '이렇게 지금 로또 버 생성기가 이렇게'},
  {'duration': 3.839, 'start': 2984.48, 'text': '나온 걸 볼 수가 있죠. 자,'},
  {'duration': 4.201, 'start': 2985.839, 'text': '여기까지 되셨으면 이제 원하는 거'},
  {'duration': 3.681, 'start': 2988.319, 'text': '수정해서 반영하면 됩니다. 예를 들어'},
  {'duration': 4.0, 'start': 2990.04, 'text': '지금 여기도 다크 모드, 화이트 모드'},
  {'duration': 5.599, 'start': 2992.0, 'text': '없잖아요. 다크 모드, 화이트 모드'},
  {'duration': 5.64, 'start': 2994.04, 'text': '기능 추가해서 깃 푸시로 배포까지'},
  {'duration': 4.72, 'start': 2997.599, 'text': '진행해라고 해보겠습니다. 명령이 좀'},
  {'duration': 5.0, 'start': 2999.68, 'text': '어려운데. 자, 기능을 추가해서 기'},
  {'duration': 4.161, 'start': 3002.319, 'text': '푸시로 배포까지 하는 겁니다. 기능'},
  {'duration': 3.04, 'start': 3004.68, 'text': '이걸로 코드를 수정해요. 얘가'},
  {'duration': 2.879, 'start': 3006.48, 'text': 'HTMLCS 자바스크립트를'},
  {'duration': 3.72, 'start': 3007.72, 'text': '수정합니다. 재미나이가. 그리고'},
  {'duration': 4.76, 'start': 3009.359, 'text': '기스로 배포까지 진행해. 네. 조금'},
  {'duration': 5.72, 'start': 3011.44, 'text': '더 간략화해 볼게요.라고 하면은 이게'},
  {'duration': 5.841, 'start': 3014.119, 'text': '기능 수정 그리고 배포까지 한 번에'},
  {'duration': 4.36, 'start': 3017.16, 'text': '됩니다. 요걸로.'},
  {'duration': 3.24, 'start': 3019.96, 'text': '네. 그러면 오 다크 모드 화이트'},
  {'duration': 3.64, 'start': 3021.52, 'text': '모드 기능 지금 추가를 하고 있고요.'},
  {'duration': 3.68, 'start': 3023.2, 'text': '네. 얘도 얼로우 4D 세션 해'},
  {'duration': 3.679, 'start': 3025.16, 'text': '가지고 두 번째 선택해서 알아서'},
  {'duration': 4.08, 'start': 3026.88, 'text': '돌아가게 만들어 보겠습니다. 자,'},
  {'duration': 3.881, 'start': 3028.839, 'text': '놀랍게도 아까 명령어 딱 한 줄'},
  {'duration': 3.2, 'start': 3030.96, 'text': '썼잖아요. 어떤 것까지 됐냐면'},
  {'duration': 3.68, 'start': 3032.72, 'text': '다크모드, 화이트보드 전환 기능'},
  {'duration': 4.52, 'start': 3034.16, 'text': '추가했고요. 그다음에 기술을 통해서'},
  {'duration': 4.64, 'start': 3036.4, 'text': '원격 조장서에 배포하는 것까지 두 개'},
  {'duration': 3.84, 'start': 3038.68, 'text': '다 했습니다. 이제는 기터 올리고 뭐'},
  {'duration': 3.12, 'start': 3041.04, 'text': '이거 클라우드 플레이어에서 다시'},
  {'duration': 3.48, 'start': 3042.52, 'text': '배포하고 이런 거 필요가 없습니다.'},
  {'duration': 4.12, 'start': 3044.16, 'text': '바로 배포가 됐죠. 그래서 여기서'},
  {'duration': 4.2, 'start': 3046.0, 'text': '새로고치만 눌러 보시면 다크모드,'},
  {'duration': 3.559, 'start': 3048.28, 'text': '화이트 모드 와 기능이 아예'},
  {'duration': 2.84, 'start': 3050.2, 'text': '프로덕션에 한 방에 그냥 배포가 돼'},
  {'duration': 2.801, 'start': 3051.839, 'text': '버립니다. 자, 저 정리를 한번 해'},
  {'duration': 3.4, 'start': 3053.04, 'text': '볼게요. 지금 클라우드 상에서'},
  {'duration': 3.439, 'start': 3054.64, 'text': '파이어베이스 스튜디오로 개발 환경을'},
  {'duration': 3.56, 'start': 3056.44, 'text': '만드셨어요. 그렇다는 거는 여기서'},
  {'duration': 3.961, 'start': 3058.079, 'text': '코딩을 입력할 수 있게 만들어 놨는데'},
  {'duration': 3.92, 'start': 3060.0, 'text': '이제 클로드 코드 코덱스 제미나이를'},
  {'duration': 3.039, 'start': 3062.04, 'text': '연결해 놨죠. 그러니까 이제 딸깍할'},
  {'duration': 3.04, 'start': 3063.92, 'text': '준비를 해 놓은 겁니다. 이제 실제'},
  {'duration': 4.601, 'start': 3065.079, 'text': '사이트 배포도 해야 되잖아요. 그거를'},
  {'duration': 4.639, 'start': 3066.96, 'text': '기터브라는 저장소를 통해서 체계적으로'},
  {'duration': 3.679, 'start': 3069.68, 'text': '코드를 관리하는 거. 코드 저장소랑'},
  {'duration': 3.361, 'start': 3071.599, 'text': '연동을 해 놨고요. 그리고 기터브랑'},
  {'duration': 3.121, 'start': 3073.359, 'text': '클라우드 플레어 페이지스를 통해서'},
  {'duration': 3.359, 'start': 3074.96, 'text': '이제 실제로 배포하는 거, 내'},
  {'duration': 3.8, 'start': 3076.48, 'text': '사이트를 전 세계 누구나 볼 수 있게'},
  {'duration': 3.121, 'start': 3078.319, 'text': '만드는 거 이것까지 다 연동을 해'},
  {'duration': 3.2, 'start': 3080.28, 'text': '놨습니다. 여러분들 할 일은'},
  {'duration': 3.639, 'start': 3081.44, 'text': '이것뿐입니다. 뭐 해 줘, 딸깍, 뭐'},
  {'duration': 2.68, 'start': 3083.48, 'text': '해 줘, 딸깍만 이제 반복하시면'},
  {'duration': 3.081, 'start': 3085.079, 'text': '됩니다. 좀 아시는 분들 위해'},
  {'duration': 4.159, 'start': 3086.16, 'text': '설명드리면 이제 메인이라는 브랜드가'},
  {'duration': 4.439, 'start': 3088.16, 'text': '있잖아요. 여기에 이제 배포를 하면은'},
  {'duration': 3.76, 'start': 3090.319, 'text': '이게 바로 반영이 되고 대부 브랜치를'},
  {'duration': 3.281, 'start': 3092.599, 'text': '만들어서 배포를 한다라고 하면은'},
  {'duration': 3.321, 'start': 3094.079, 'text': '배포가 되긴 해요. 근데 이제 메인'},
  {'duration': 3.0, 'start': 3095.88, 'text': '사이트에 안 되고 이제 개발용'},
  {'duration': 3.52, 'start': 3097.4, 'text': '사이트에 배포가 됩니다. 근데 이런'},
  {'duration': 3.16, 'start': 3098.88, 'text': '배포도 사실 딸각으로 하면 되기'},
  {'duration': 2.879, 'start': 3100.92, 'text': '때문에 이거 뭐 굳이 알 필요'},
  {'duration': 3.44, 'start': 3102.04, 'text': '없습니다. 그냥 해 줘 하면은 얘가'},
  {'duration': 3.241, 'start': 3103.799, 'text': '알아서 이렇게 다 해 줍니다. 저희가'},
  {'duration': 2.879, 'start': 3105.48, 'text': '재미나에 연결 했잖아요. 그리고 클로'},
  {'duration': 3.36, 'start': 3107.04, 'text': '코드 이거 세 개 다 연결 했는데'},
  {'duration': 3.44, 'start': 3108.359, 'text': '코딩 도구가 뭐가 좋아질지는 발전에'},
  {'duration': 2.76, 'start': 3110.4, 'text': '따라서 그냥 제일 최신 거, 제일'},
  {'duration': 2.881, 'start': 3111.799, 'text': '좋은 거 하시면 됩니다. 그래서 이거'},
  {'duration': 3.439, 'start': 3113.16, 'text': '하나로 이제 고정해서 쓰지 않으셔도'},
  {'duration': 3.399, 'start': 3114.68, 'text': '되고 한 1년 뒤에 보면은 뭔가'},
  {'duration': 3.52, 'start': 3116.599, 'text': '없어져 있을 수도 있습니다. 갑자기'},
  {'duration': 3.52, 'start': 3118.079, 'text': '뭐 새로운게 나와 가지고 요즘 대세는'},
  {'duration': 2.96, 'start': 3120.119, 'text': 'A 해가지고 새로운게 나오고 나머지'},
  {'duration': 2.921, 'start': 3121.599, 'text': '다 없어지고 요런 일도 있을 수가'},
  {'duration': 3.441, 'start': 3123.079, 'text': '있습니다. 그렇기 때문에 그냥 최신'},
  {'duration': 3.68, 'start': 3124.52, 'text': '소식은 조코딩 채널 구독하시면 가장'},
  {'duration': 3.12, 'start': 3126.52, 'text': '최신 소식 다 알려 드리니까요. 제일'},
  {'duration': 3.08, 'start': 3128.2, 'text': '좋은 거 하시면 됩니다. 이제 외부'},
  {'duration': 4.08, 'start': 3129.64, 'text': '서비스 활용 진행을 해 보겠습니다.'},
  {'duration': 4.559, 'start': 3131.28, 'text': '저희는 이제 외부 서비스를 붙여서'},
  {'duration': 4.04, 'start': 3133.72, 'text': '활용하는 방법을 네, 적용해 보도록'},
  {'duration': 3.121, 'start': 3135.839, 'text': '하겠습니다. 저희는 지금 프론트엔드'},
  {'duration': 3.24, 'start': 3137.76, 'text': '개발에 대해서 공부를 했습니다.'},
  {'duration': 3.68, 'start': 3138.96, 'text': '프론트엔드를 만들어서 그거를 실제로'},
  {'duration': 4.04, 'start': 3141.0, 'text': '세상에 공개하는 걸 배웠어요. 근데'},
  {'duration': 4.159, 'start': 3142.64, 'text': '백엔드도 만들고 싶잖아요. 뭐 AI'},
  {'duration': 3.039, 'start': 3145.04, 'text': '딸깍한번 만들어 주긴 하는데 이거는'},
  {'duration': 3.081, 'start': 3146.799, 'text': '조금 더 복잡해요. 뒤에 배우긴'},
  {'duration': 3.561, 'start': 3148.079, 'text': '하겠지만 약간 더 복잡해 가지고 어'},
  {'duration': 3.56, 'start': 3149.88, 'text': '이런 거 누가 만들어 놓은 거 그냥'},
  {'duration': 3.0, 'start': 3151.64, 'text': '붙일 수 없나라는 생각이 좀 들 수'},
  {'duration': 3.28, 'start': 3153.44, 'text': '있잖아요. 그런 걸 할 수가'},
  {'duration': 3.199, 'start': 3154.64, 'text': '있습니다. 외부 서비스를 내 서비스에'},
  {'duration': 2.8, 'start': 3156.72, 'text': '붙여 가지고 쓰는 경우가 너무'},
  {'duration': 3.24, 'start': 3157.839, 'text': '많아요. 이게 워낙 활발하다 보니까'},
  {'duration': 3.2, 'start': 3159.52, 'text': '약간 요런 일도 있어요. 자바스크립트'},
  {'duration': 3.681, 'start': 3161.079, 'text': 'MPM 마비 사태가 한번 일어난 적이'},
  {'duration': 3.52, 'start': 3162.72, 'text': '있었는데 갖다 쓰는 거에서 레프트'},
  {'duration': 3.44, 'start': 3164.76, 'text': '패드라는 이런 라이브러리가'},
  {'duration': 3.599, 'start': 3166.24, 'text': '있었습니다. 얘가 뭐냐면 공백이나'},
  {'duration': 3.56, 'start': 3168.2, 'text': '특정 문자를 추가하는 기능입니다.'},
  {'duration': 3.96, 'start': 3169.839, 'text': '갖다 써야지 하고 다 레프트 패드라는'},
  {'duration': 3.52, 'start': 3171.76, 'text': '거를 굴러와서 쓰기 이런 거 되게'},
  {'duration': 2.961, 'start': 3173.799, 'text': '많이 했거든요. 하다 보니까 다'},
  {'duration': 3.2, 'start': 3175.28, 'text': '여기에 의존하고 있었어요. 레프트'},
  {'duration': 3.319, 'start': 3176.76, 'text': '패드라는 곳에. 결국에는 그 뭐'},
  {'duration': 3.2, 'start': 3178.48, 'text': '소유권 이전 뭐 이런 것 때문에'},
  {'duration': 3.121, 'start': 3180.079, 'text': 'MPM에 공개했던 패키지를 전부'},
  {'duration': 3.0, 'start': 3181.68, 'text': '삭제를 해 버렸습니다. 그것 때문에'},
  {'duration': 2.8, 'start': 3183.2, 'text': '다 무너지는 일이 있었습니다. 네.'},
  {'duration': 3.119, 'start': 3184.68, 'text': '이런식이 되게 많아요. 그래서'},
  {'duration': 3.64, 'start': 3186.0, 'text': '개발자들은 직접 모든 걸 만들지'},
  {'duration': 3.52, 'start': 3187.799, 'text': '않습니다. 그러다 보니까 개발을 물론'},
  {'duration': 3.56, 'start': 3189.64, 'text': '다 배울 거예요. 그 전에 외부'},
  {'duration': 3.361, 'start': 3191.319, 'text': '서비스를 활용하는 방법도 배워 보도록'},
  {'duration': 3.8, 'start': 3193.2, 'text': '하겠습니다. 그래서 가져오는 방법도'},
  {'duration': 3.76, 'start': 3194.68, 'text': '종류도 너무 많은데 대표적으로 API'},
  {'duration': 3.24, 'start': 3197.0, 'text': '뭐 이런게 있습니다. 용어는 지금 좀'},
  {'duration': 3.159, 'start': 3198.44, 'text': '어려우니까 모르셔도 되고 그냥 이런'},
  {'duration': 3.04, 'start': 3200.24, 'text': '거를 가져다 쓸 수 있는 겁니다.'},
  {'duration': 3.121, 'start': 3201.599, 'text': '쉽게 말해서 아예 한국어로 만들어'},
  {'duration': 3.44, 'start': 3203.28, 'text': '놓은 것도 있더라고요. 가져다 쓸 수'},
  {'duration': 3.76, 'start': 3204.72, 'text': '있는 API 모음집 그래서 오픈'},
  {'duration': 3.359, 'start': 3206.72, 'text': 'API라고 해서 누가 이게 백엔드'},
  {'duration': 3.2, 'start': 3208.48, 'text': '이런 걸 되게 잘 만들어 가지고 자,'},
  {'duration': 3.0, 'start': 3210.079, 'text': '여러분 쓰세요 하고 이렇게 뿌린'},
  {'duration': 3.08, 'start': 3211.68, 'text': '사람들이 있습니다. 목차도 되게'},
  {'duration': 3.161, 'start': 3213.079, 'text': '많아요. 뭐 개발 관련된 거 들어가'},
  {'duration': 3.039, 'start': 3214.76, 'text': '보면 이런 것도 있네요. 이름에서'},
  {'duration': 3.28, 'start': 3216.24, 'text': '연령을 추정하는 거. 이런 기능이'},
  {'duration': 3.921, 'start': 3217.799, 'text': '엄청 많아요. 제임스로 하면은'},
  {'duration': 4.12, 'start': 3219.52, 'text': '74세다. 약간 요런 수축하는 것도'},
  {'duration': 3.28, 'start': 3221.72, 'text': 'API로 만들어 가지고 가져다 쓰세요'},
  {'duration': 3.12, 'start': 3223.64, 'text': '하고 이렇게 제공해 줍니다. 그래서'},
  {'duration': 3.64, 'start': 3225.0, 'text': '오픈된 거 위주로 해 가지고 쭉 보여'},
  {'duration': 3.359, 'start': 3226.76, 'text': '주는 사이트가 있는데 요거는 강의'},
  {'duration': 3.0, 'start': 3228.64, 'text': '자료에 다운받아 보시면 있습니다.'},
  {'duration': 4.041, 'start': 3230.119, 'text': '그래서 이런 거를 좀 진행을 해 볼'},
  {'duration': 4.08, 'start': 3231.64, 'text': '건데 그냥 간단하게 쓰면서도 유용하게'},
  {'duration': 3.28, 'start': 3234.16, 'text': '쓸 수 있는게 뭐가 있을까를 생각을'},
  {'duration': 3.0, 'start': 3235.72, 'text': '해 봤는데 폼 스프리라는게 있어'},
  {'duration': 2.84, 'start': 3237.44, 'text': '가지고 요거 좀 소개해 드리고자'},
  {'duration': 3.359, 'start': 3238.72, 'text': '합니다. 요게 어떤 거냐? 뭐 기업'},
  {'duration': 3.72, 'start': 3240.28, 'text': '페이지 같은데 보면 요렇게 재유'},
  {'duration': 4.24, 'start': 3242.079, 'text': '문의가 있어 가지고 뭐 사업자'},
  {'duration': 4.319, 'start': 3244.0, 'text': '등록번호 입력하고 이메일 입력하고'},
  {'duration': 3.441, 'start': 3246.319, 'text': '주소 입력해서 확인 누르면 제출되는'},
  {'duration': 3.24, 'start': 3248.319, 'text': '거 있잖아요. 이런 폼 같은 거 많이'},
  {'duration': 3.52, 'start': 3249.76, 'text': '운영하잖아요. 비즈니스 뭐 메일 쓰기'},
  {'duration': 3.921, 'start': 3251.559, 'text': '뭐 이런 거 되게 많이 보셨을 텐데'},
  {'duration': 3.88, 'start': 3253.28, 'text': '이런 거를 직접 구현하려면 원래는'},
  {'duration': 3.639, 'start': 3255.48, 'text': '백핸드를 만들어야 되거든요. 외부'},
  {'duration': 3.639, 'start': 3257.16, 'text': '서비스를 안 갔다 쓴다고 하면은 요런'},
  {'duration': 3.48, 'start': 3259.119, 'text': '느낌이겠죠. 사이트를 개발한 다음에'},
  {'duration': 4.28, 'start': 3260.799, 'text': '입력 폼을 여기 만들고 요거를'},
  {'duration': 4.72, 'start': 3262.599, 'text': '입력받아서 우리가 만든 백핸드 서버에'},
  {'duration': 3.841, 'start': 3265.079, 'text': '데이터를 보내서 요거를 저장을 하고'},
  {'duration': 3.401, 'start': 3267.319, 'text': '네. 요런 식으로 구현해야 되잖아요.'},
  {'duration': 3.439, 'start': 3268.92, 'text': '이거를 백엔들 누가 대신 만들어 줘'},
  {'duration': 2.639, 'start': 3270.72, 'text': '가지고 이거를 그냥 우리 거랑 연결한'},
  {'duration': 2.801, 'start': 3272.359, 'text': '거예요. 이걸 한번 해 보도록'},
  {'duration': 2.96, 'start': 3273.359, 'text': '하겠습니다. 겟스타티드 눌러 가지고'},
  {'duration': 2.56, 'start': 3275.16, 'text': '회원 가입 바로 진행을 해'},
  {'duration': 3.321, 'start': 3276.319, 'text': '보겠습니다. 로그인 해 보시면 네.'},
  {'duration': 3.68, 'start': 3277.72, 'text': '요렇게 나오게 됩니다. 그러면 우리는'},
  {'duration': 3.479, 'start': 3279.64, 'text': '폼을 받을 걸 만들어 가지고 연결'},
  {'duration': 3.36, 'start': 3281.4, 'text': '하면 되겠죠? 그래서 애드 뉴해서 뉴'},
  {'duration': 3.361, 'start': 3283.119, 'text': '폼을 만들어 볼게요. 뉴 폼을 하고'},
  {'duration': 4.0, 'start': 3284.76, 'text': '크리트 폼을 해서 어 벌써 주소가'},
  {'duration': 4.4, 'start': 3286.48, 'text': '나왔어요. 엔드 포인트라고 하는데 그'},
  {'duration': 3.28, 'start': 3288.76, 'text': '백엔드에 접근을 하려면 어떤 뭐'},
  {'duration': 2.32, 'start': 3290.88, 'text': '주소가 있어야 접근을 할 수'},
  {'duration': 3.84, 'start': 3292.04, 'text': '있잖아요. 그래서 요렇게 주소를'},
  {'duration': 4.879, 'start': 3293.2, 'text': '줍니다. 이거를 요런 식으로 남기면'},
  {'duration': 3.919, 'start': 3295.88, 'text': '된다라고 돼 있죠. 그러면 이걸 직접'},
  {'duration': 4.441, 'start': 3298.079, 'text': '연결해 볼게요. 재미나이한테 시켜'},
  {'duration': 5.961, 'start': 3299.799, 'text': '보겠습니다. 폼 스프리로 재휴 무의'},
  {'duration': 5.079, 'start': 3302.52, 'text': '받을 수 있는 간단한 폼 만들어'},
  {'duration': 3.44, 'start': 3305.76, 'text': '줘라고 하고 그 엔드 포인트가'},
  {'duration': 3.041, 'start': 3307.599, 'text': '필요하겠죠. 왜냐 어디로 보낼지'},
  {'duration': 3.08, 'start': 3309.2, 'text': '알아야 되니까. 그래서 엔드 포인트를'},
  {'duration': 3.159, 'start': 3310.64, 'text': '요렇게 입력을 해 주겠습니다. 그러면'},
  {'duration': 3.64, 'start': 3312.28, 'text': '제유받을 수 있는 간단한 폼 만들어'},
  {'duration': 4.081, 'start': 3313.799, 'text': '줘 하고 요렇게 입력하고 엔터요'},
  {'duration': 3.8, 'start': 3315.92, 'text': '정도만 시켜 보겠습니다. 어, 지금'},
  {'duration': 4.12, 'start': 3317.88, 'text': '됐고. 자, 보면은 어, 이렇게 제유'},
  {'duration': 4.399, 'start': 3319.72, 'text': '무늬가 있죠? 제유 무늬. 코드가 잘'},
  {'duration': 3.68, 'start': 3322.0, 'text': '동작하는지 확인하고 네. 그냥'},
  {'duration': 4.2, 'start': 3324.119, 'text': '배포까지 진행해라고 이렇게 시켜'},
  {'duration': 4.72, 'start': 3325.68, 'text': '보겠습니다. 알아서 다 읽고 확인하고'},
  {'duration': 3.52, 'start': 3328.319, 'text': '배포하는 것까지 다 진행이 됩니다.'},
  {'duration': 3.08, 'start': 3330.4, 'text': '볼까요? 어, 배포 됐네요. 어,'},
  {'duration': 3.401, 'start': 3331.839, 'text': '미니어오니까 방금 된 거 같아요.'},
  {'duration': 3.44, 'start': 3333.48, 'text': '누르면 오늘 저녁 뭐 먹지? 해'},
  {'duration': 3.48, 'start': 3335.24, 'text': '가지고 제유무늬가 있습니다. 자,'},
  {'duration': 3.879, 'start': 3336.92, 'text': '이렇게 제유무늬 폼을 받을 수 있는'},
  {'duration': 3.48, 'start': 3338.72, 'text': '거 누군가 우리 사이트 방문해 가지고'},
  {'duration': 2.961, 'start': 3340.799, 'text': '이렇게 입력할 수 있잖아요. 그'},
  {'duration': 3.56, 'start': 3342.2, 'text': '보내기를 누르면 어, 보내집니다.'},
  {'duration': 3.64, 'start': 3343.76, 'text': '실제로 제 이메일로 들어가 보면 네,'},
  {'duration': 3.559, 'start': 3345.76, 'text': '요렇게 폼이 제출됐습니다. 네,'},
  {'duration': 3.199, 'start': 3347.4, 'text': '이메일, 메시지 다 제출이 된 거를'},
  {'duration': 3.321, 'start': 3349.319, 'text': '볼 수가 있죠. 아무튼 그 정도로'},
  {'duration': 3.801, 'start': 3350.599, 'text': '이제 바로 만들어졌죠. 백핸드 안'},
  {'duration': 3.8, 'start': 3352.64, 'text': '만들어도 그냥 만들어집니다. 너무'},
  {'duration': 3.959, 'start': 3354.4, 'text': '쉬워요. 이게 지금 저희 광고 붙이고'},
  {'duration': 3.24, 'start': 3356.44, 'text': '뭐 사스 구독하고 이런 거 만들었는데'},
  {'duration': 3.121, 'start': 3358.359, 'text': '그것까지 안 하셔도 됩니다. 자,'},
  {'duration': 3.08, 'start': 3359.68, 'text': '이거 보겠습니다. 크몽 이게 외주'},
  {'duration': 3.72, 'start': 3361.48, 'text': '이런 거 맡기는 서비스입니다.'},
  {'duration': 4.319, 'start': 3362.76, 'text': '홈페이지 제작 정확하게 저희 기능 다'},
  {'duration': 3.639, 'start': 3365.2, 'text': '구현했어요. 반응형 디자인 딸깍하면'},
  {'duration': 3.841, 'start': 3367.079, 'text': '되죠. 그다음에 서브 페이지 이것도'},
  {'duration': 3.841, 'start': 3368.839, 'text': '딸깍하면 되는데 놀랍게도 무의학이'},
  {'duration': 4.399, 'start': 3370.92, 'text': '저희가 방금 구현한이 기능입니다.'},
  {'duration': 4.32, 'start': 3372.68, 'text': '놀랍게도 110만 원짜리 작업 지금'},
  {'duration': 2.961, 'start': 3375.319, 'text': '저희가 구현 끝냈습니다. 아무튼'},
  {'duration': 3.4, 'start': 3377.0, 'text': '이거를 여러분도 할 수가 있다.'},
  {'duration': 4.079, 'start': 3378.28, 'text': '그다음에 댓글 기능 디스커스라고 그'},
  {'duration': 3.48, 'start': 3380.4, 'text': '댓글 서비스 제공하는 곳이거든요.'},
  {'duration': 3.401, 'start': 3382.359, 'text': '그래서 여기 로그인 하시면 이렇게'},
  {'duration': 3.56, 'start': 3383.88, 'text': '나옵니다. 여기에 유 사이트 들어가서'},
  {'duration': 3.12, 'start': 3385.76, 'text': '뉴를 누릅니다. 크리e 뉴 사이트'},
  {'duration': 3.24, 'start': 3387.44, 'text': '이거는 저는 오건데이션 만들었는데 안'},
